,num_inputs,num_features,num_outputs,cycles,time (μs),effective bandwidth (GiB/s)
0,16.0,512.0,32768.0,34484.9828125,18.64053125,3352.9087358188426
0,32.0,16.0,32.0,1523.0446875,0.8232673986486486,2.316804137757897
0,32.0,16.0,64.0,1538.1509375,0.8314329391891893,4.588103027882938
0,32.0,16.0,128.0,1657.2959375,0.895835641891892,8.516518712635882
0,32.0,16.0,256.0,1684.6584375,0.9106261824324325,16.75638972096152
0,32.0,16.0,512.0,1678.6465625,0.9073765202702702,33.63276753403997
0,32.0,16.0,1024.0,1719.2640625,0.9293319256756757,65.67643903916637
0,32.0,16.0,2048.0,1883.2571875,1.0179768581081081,119.91462977604249
0,32.0,16.0,4096.0,2041.5596875,1.103545777027027,221.23297391857318
0,32.0,16.0,8192.0,2255.9753125,1.219446114864865,400.4124911286818
0,32.0,16.0,16384.0,2733.2246875,1.47741875,660.9927373297213
0,32.0,16.0,32768.0,3297.3571875,1.7823552364864863,1095.8115374503677
0,32.0,32.0,32.0,1416.2378125,0.7655339527027027,4.9830603961758655
0,32.0,32.0,64.0,1723.6909375,0.9317248310810811,8.188470326431553
0,32.0,32.0,128.0,1768.7321875,0.9560714527027027,15.95989951711304
0,32.0,32.0,256.0,1735.4959375,0.9381059121621621,32.53106727687924
0,32.0,32.0,512.0,1707.0896875,0.9227511824324324,66.14478302027089
0,32.0,32.0,1024.0,1835.3409375,0.9920761824324325,123.04542359551782
0,32.0,32.0,2048.0,2053.1728125,1.1098231418918918,219.98161013445974
0,32.0,32.0,4096.0,2322.8465625,1.2555927364864865,388.88516647957346
0,32.0,32.0,8192.0,2849.6021875,1.5403255067567567,633.9975778836048
0,32.0,32.0,16384.0,3501.9571875,1.8929498310810815,1031.789277415486
0,32.0,32.0,32768.0,5125.9059375,2.7707599662162163,1409.811891836779
0,32.0,64.0,32.0,1578.4353125,0.8532082770270271,8.942016759111882
0,32.0,64.0,64.0,1634.7715625,0.8836603040540539,17.267724850369703
0,32.0,64.0,128.0,1795.4896875,0.9705349662162162,31.444102810960317
0,32.0,64.0,256.0,1807.8378125,0.9772096283783784,62.458636049566564
0,32.0,64.0,512.0,1949.8159375,1.0539545608108107,115.82133454498329
0,32.0,64.0,1024.0,2109.1853125,1.140100168918919,214.13963623110888
0,32.0,64.0,2048.0,2491.2309375,1.3466113175675676,362.6000939545221
0,32.0,64.0,4096.0,2835.7440625,1.5328346283783785,637.0961292675986
0,32.0,64.0,8192.0,3637.5584375,1.9662478040540543,993.326091797397
0,32.0,64.0,16384.0,5173.8390625,2.796669763513514,1396.7505619680244
0,32.0,64.0,32768.0,7685.7865625,4.154479222972973,1880.5004708442439
0,32.0,128.0,32.0,1520.9471875,0.8221336148648648,18.560014428797952
0,32.0,128.0,64.0,1670.2428125,0.9028339527027026,33.802004585870094
0,32.0,128.0,128.0,1761.7928125,0.9523204391891892,64.09106360751049
0,32.0,128.0,256.0,1923.1309375,1.0395302364864865,117.42841229303829
0,32.0,128.0,512.0,2145.5515625,1.1597576013513515,210.5101306740235
0,32.0,128.0,1024.0,2390.1228125,1.291958277027027,377.93892921767923
0,32.0,128.0,2048.0,2907.1321875,1.5714228040540539,621.4512606364549
0,32.0,128.0,4096.0,3534.7471875,1.9106741554054056,1022.2179498246644
0,32.0,128.0,8192.0,5116.5384375,2.765696452702703,1412.3930307251064
0,32.0,128.0,16384.0,8092.2784375,4.374204560810811,1786.039063475655
0,32.0,128.0,32768.0,11358.7728125,6.139877195945946,2544.839240734316
0,32.0,256.0,32.0,1711.0278125,0.9248798986486487,32.99629012490008
