,num_inputs,num_features,num_outputs,cycles,time (μs),effective bandwidth (GiB/s)
0,64.0,32.0,256.0,3500.0171875,1.8919011824324323,16.13064328012799
0,64.0,32.0,512.0,3753.7071875,2.029030912162162,30.080942750953497
0,64.0,32.0,1024.0,4028.8553125,2.177759628378378,56.0531627033774
0,64.0,32.0,2048.0,4623.9253125,2.499419087837838,97.6789613433547
0,64.0,32.0,4096.0,5015.8440625,2.7112670608108114,180.09339718458094
0,64.0,32.0,8192.0,5619.1165625,3.0373603040540536,321.5168712562969
0,64.0,32.0,16384.0,6830.7353125,3.6922893581081073,528.9740147384765
0,64.0,32.0,32768.0,9289.0034375,5.021082939189189,777.9696445944762
0,64.0,64.0,32.0,3181.5609375,1.719762668918919,4.4363070435955345
0,64.0,64.0,64.0,3440.0665625,1.8594954391891896,8.205877563370183
0,64.0,64.0,128.0,3488.5415625,1.8856981418918917,16.183705263259164
0,64.0,64.0,256.0,3732.4865625,2.017560304054054,30.251963613323852
0,64.0,64.0,512.0,4052.6953125,2.190646114864865,55.72343257912009
0,64.0,64.0,1024.0,4695.5603125,2.5381407094594595,96.18877227413718
0,64.0,64.0,2048.0,4979.5215625,2.691633277027027,181.40705697465364
0,64.0,64.0,4096.0,5570.9084375,3.0113018581081086,324.29913548330546
0,64.0,64.0,8192.0,6771.0278125,3.6600150337837833,533.6385666371553
0,64.0,64.0,16384.0,9167.9159375,4.955630236486487,788.2448480056777
0,64.0,64.0,32768.0,13984.2784375,7.559069425675675,1033.5267013972552
0,64.0,128.0,32.0,3415.7965625,1.8463765202702702,8.264181587268782
0,64.0,128.0,64.0,3524.3740625,1.905067060810811,16.019164783645216
0,64.0,128.0,128.0,3855.3234375,2.0839586148648648,29.288085770932483
0,64.0,128.0,256.0,4169.9821875,2.254044425675676,54.15612552039281
0,64.0,128.0,512.0,4864.0884375,2.6292369932432433,92.85608725285554
0,64.0,128.0,1024.0,5045.9209375,2.7275248310810802,179.0199276672305
0,64.0,128.0,2048.0,5630.9559375,3.043759966216216,320.8408562175434
